user_id,vote_id,vote_id-2,vote_id-3
0000000,11,12,13
0000000,11,30,14
0000000,11,30,12
0000000,15,12,14
0000000,15,12,13
0000000,11,12,30
0000000,13,30,11
0000000,30,11,12
0000000,12,13,11
0000000,15,12,11
0000000,15,14,12
0000000,12,30,15
0000000,11,12,15
0000000,11,12,30
0000000,11,30,12
0000000,15,12,11
0000000,11,30,14
0000000,13,15,12
0000000,11,12,15
0000000,11,15,12
0000000,15,13,12
0000000,11,15,13
0000000,11,14,12
0000000,11,12,30
0000000,12,14,15
0000000,11,15,13
0000000,12,15,30
0000000,11,30,15
0000000,11,15,12
0000000,11,12,14
0000000,11,15,30
0000000,13,12,15
0000000,13,30,15
0000000,14,30,12
0000000,14,13,12
0000000,13,30,11
0000000,13,15,12
0000000,12,15,11
0000000,30,11,13
0000000,11,30,14
0000000,11,30,15
0000000,11,30,13
0000000,11,13,14
0000000,11,15,13
0000000,12,15,11
0000000,11,13,14
0000000,14,13,11
0000000,13,11,12
0000000,12,13,30
0000000,11,12,15
0000000,12,11,15
0000000,30,14,15
0000000,12,13,15
0000000,13,14,30
0000000,11,12,30
0000000,12,11,30
0000000,14,12,13
0000000,11,13,14
0000000,13,15,12
0000000,12,15,11
0000000,15,11,14
0000000,30,13,11
0000000,12,13,15
0000000,12,11,15
0000000,15,12,11
0000000,13,12,14
0000000,11,15,30
0000000,15,13,11
0000000,11,12,30
0000000,12,14,30
0000000,11,13,15
0000000,30,11,14
0000000,13,11,12
0000000,11,30,14
0000000,12,11,15
0000000,11,30,15
0000000,13,15,12
0000000,13,30,15
0000000,12,15,11
0000000,12,15,13
0000000,30,11,12
0000000,15,11,14
0000000,15,11,12
0000000,12,15,14
0000000,11,13,30
0000000,15,13,12
0000000,11,15,14
0000000,12,13,14
0000000,12,13,11
