"user_id","vote_id","vote_id-2","vote_id-3"
0000000,16,15,17
0000000,17,15,16
0000000,16,15,17
0000000,16,18,17
0000000,16,18,17
0000000,17,15,16
0000000,17,16,15
0000000,15,18,17
0000000,16,17,15
0000000,16,15,17
0000000,17,15,16
0000000,17,16,15
0000000,18,15,17
0000000,18,16,17
0000000,16,17,18
0000000,17,16,18
0000000,15,18,16
0000000,16,17,15
0000000,17,15,18
0000000,18,17,15
0000000,16,18,15
0000000,16,15,17
0000000,15,17,16
0000000,15,17,18
0000000,16,15,17
0000000,16,17,15
0000000,15,17,16
0000000,18,15,17
0000000,16,15,17
0000000,18,16,15
0000000,16,15,18
0000000,15,17,18
0000000,16,17,18
0000000,16,18,17
0000000,15,17,18
0000000,16,15,17
0000000,17,15,18
0000000,18,15,17
0000000,16,15,18
0000000,17,18,16
0000000,18,16,17
0000000,15,17,16
0000000,16,15,17
0000000,17,16,15
0000000,17,15,16
0000000,17,16,18
0000000,17,15,18
0000000,17,16,15
0000000,15,16,17
0000000,17,15,16
0000000,17,16,18
0000000,18,17,16
0000000,16,17,15
0000000,15,17,16
0000000,17,15,16
0000000,15,16,17
0000000,16,15,17
0000000,16,15,17
0000000,16,18,17
0000000,15,18,16
0000000,16,15,17
0000000,16,15,17
