user_id,First,Second,Third
0000000,3,4,2
0000000,1,2,3
0000000,4,2,3
0000000,2,3,1
0000000,3,4,2
0000000,1,3,2
0000000,3,4,2
0000000,4,3,2
0000000,2,3,4
0000000,3,1,4
0000000,1,2,3
0000000,3,2,1
0000000,2,3,1
0000000,1,4,3
0000000,1,2,3
0000000,2,1,4
0000000,2,3,1
0000000,2,3,1
0000000,3,4,2
0000000,3,2,1
0000000,3,2,1
0000000,3,2,4
0000000,1,2,3
0000000,1,3,4
0000000,3,2,1
0000000,4,3,2
0000000,2,1,4
0000000,1,2,4
0000000,3,1,2
0000000,2,4,1
0000000,4,2,3
0000000,2,3,1
0000000,1,3,2
0000000,3,4,1
0000000,3,2,1
0000000,4,1,3
0000000,2,3,4
0000000,1,3,2
0000000,2,3,1
0000000,2,4,3
0000000,3,4,1
0000000,1,3,4
0000000,1,3,4
0000000,3,1,2
0000000,1,2,3
0000000,2,3,1
0000000,1,3,4
0000000,2,3,4
0000000,2,4,1
0000000,2,3,1
0000000,1,3,4
0000000,3,2,1
0000000,1,3,4
0000000,3,1,2
0000000,2,3,1
0000000,2,3,4
0000000,4,3,2
0000000,3,2,4
0000000,4,3,2
0000000,2,1,3
0000000,3,2,1
0000000,2,3,4
0000000,2,1,3
0000000,3,2,1
0000000,2,1,3
0000000,4,3,2
0000000,2,3,1
0000000,1,3,4
0000000,2,1,3
0000000,1,2,3
0000000,3,1,2
0000000,1,3,4
0000000,2,3,1
0000000,1,3,4
0000000,2,3,1
0000000,2,3,1
0000000,2,3,1
0000000,3,4,2
0000000,3,2,1
0000000,2,3,4
0000000,1,3,2
0000000,2,3,4
0000000,2,3,1
0000000,1,3,2
0000000,2,3,1
0000000,1,2,3
0000000,4,1,2
0000000,1,3,2
0000000,1,3,4
0000000,3,4,2
0000000,1,2,3
0000000,1,3,2
0000000,1,2,3
0000000,2,3,1
0000000,3,2,4
0000000,1,3,2
0000000,1,2,3
0000000,1,4,2
0000000,1,2,3
0000000,2,3,4
0000000,3,2,4
0000000,3,1,2
0000000,3,2,4
0000000,1,2,3
0000000,1,3,4
0000000,2,4,3
0000000,1,2,3
0000000,2,3,1
0000000,3,2,4
0000000,1,3,2
0000000,2,1,4
0000000,1,2,3
0000000,2,1,4
0000000,2,3,1
0000000,1,2,3
0000000,4,3,2
0000000,1,3,2
0000000,1,3,2
0000000,1,2,3
0000000,2,1,3
0000000,1,2,3
0000000,3,2,1
0000000,3,2,1
0000000,2,3,1
0000000,2,3,1
0000000,3,4,1
0000000,2,1,3
0000000,3,2,4
0000000,3,2,1
0000000,1,2,4
0000000,2,3,1
0000000,2,3,1
0000000,3,4,1
0000000,2,1,3
0000000,1,2,3
0000000,2,3,1
0000000,2,1,3
0000000,2,3,4
0000000,3,1,4
0000000,3,4,2
0000000,1,4,3
0000000,2,3,1
0000000,1,3,4
0000000,3,2,4
0000000,3,2,1
0000000,3,2,1
0000000,3,1,4
0000000,1,2,3
0000000,2,3,1
0000000,4,3,1
0000000,2,3,4
0000000,3,2,4
0000000,1,4,2
0000000,4,3,1
0000000,2,1,3
0000000,3,1,2
0000000,3,2,1
0000000,2,3,1
0000000,1,3,2
0000000,3,2,1
0000000,3,2,1
0000000,1,2,3
0000000,4,3,1
0000000,2,3,1
0000000,2,3,1
0000000,3,4,1
0000000,2,3,1
0000000,3,1,2
0000000,4,3,1
0000000,4,3,2
0000000,4,2,3
0000000,4,3,1
0000000,4,3,2
0000000,2,1,3
0000000,2,3,1
0000000,1,4,3
0000000,3,1,4
0000000,1,2,4
0000000,4,2,3
0000000,2,3,4
0000000,4,2,3
0000000,3,1,4
0000000,3,2,4
0000000,3,4,2
0000000,3,2,4
0000000,2,3,1
0000000,2,3,4
0000000,4,3,2
0000000,3,2,1
0000000,4,2,3
0000000,2,3,1
0000000,2,3,1
0000000,3,2,1
0000000,1,4,2
0000000,3,4,2
0000000,2,3,4
0000000,3,2,4
0000000,4,3,1
0000000,1,2,3
0000000,4,3,1
0000000,2,3,1
0000000,1,3,2
0000000,4,1,3
0000000,4,2,3
0000000,1,2,3
0000000,2,4,1
0000000,1,2,3
0000000,2,3,4
0000000,1,2,3
0000000,2,3,4
0000000,2,1,3
0000000,1,2,3
0000000,4,1,3
0000000,1,3,4
0000000,4,3,1
0000000,1,3,4
0000000,3,4,2
0000000,1,2,3
0000000,2,3,1
0000000,2,3,1
0000000,3,1,2
0000000,1,3,4
0000000,2,3,1
0000000,3,2,1
0000000,3,1,2
0000000,3,1,2
0000000,2,3,1
0000000,3,4,1
0000000,3,2,4
0000000,2,3,1
0000000,2,3,4
0000000,1,3,2
0000000,3,2,4
0000000,3,1,4
0000000,4,2,3
0000000,1,4,2
0000000,3,2,4
0000000,1,3,4
0000000,1,3,2
0000000,2,4,3
0000000,1,4,3
0000000,1,3,4
0000000,2,3,1
0000000,4,3,2
0000000,3,2,1
0000000,2,1,4
0000000,1,3,2
0000000,2,3,1
0000000,1,3,4
0000000,2,3,1
0000000,3,2,1
0000000,1,3,4
0000000,1,3,4
0000000,1,4,2
0000000,3,1,2
0000000,4,3,1
0000000,1,3,2
0000000,3,2,4
0000000,2,3,1
0000000,1,2,3
0000000,3,2,1
0000000,1,3,4
0000000,2,3,1
0000000,1,3,2
0000000,4,1,2
0000000,2,3,1
0000000,1,2,3
0000000,2,3,1
0000000,1,2,4
0000000,3,2,4
0000000,1,2,3
0000000,1,3,4
0000000,1,3,2
0000000,4,1,3
0000000,2,1,3
0000000,3,1,2
0000000,1,2,3
0000000,1,2,4
0000000,3,1,2
0000000,1,2,3
0000000,2,3,1
0000000,2,3,1
0000000,1,2,3
0000000,1,3,2
0000000,4,2,3
0000000,1,4,2
0000000,2,3,1
0000000,2,3,1
0000000,3,2,4
0000000,1,4,3
0000000,1,2,3
0000000,1,4,2
0000000,2,3,4
0000000,2,3,1
0000000,3,4,1
0000000,4,3,1
0000000,1,4,3
0000000,2,3,4
0000000,1,2,3
0000000,3,1,4
0000000,3,1,2
0000000,1,3,4
0000000,4,1,3
0000000,1,3,2
0000000,1,3,2
0000000,2,1,3
0000000,1,2,3
0000000,1,2,4
0000000,2,3,1
0000000,3,2,1
0000000,4,2,1
0000000,3,2,1
0000000,4,2,3
0000000,2,3,1
0000000,1,4,3
0000000,1,2,3
0000000,1,2,3
0000000,3,2,1
0000000,3,1,2
0000000,1,2,3
0000000,1,2,3
0000000,1,3,4
0000000,2,3,1
0000000,2,1,3
0000000,3,1,2
0000000,4,3,2
0000000,4,1,3
0000000,1,2,4
0000000,1,2,3
0000000,4,3,2
0000000,1,3,4
0000000,3,2,4
0000000,3,2,1
0000000,1,2,3
0000000,2,3,1
0000000,1,2,3
0000000,2,3,4
0000000,1,2,3
0000000,4,1,2
0000000,3,2,4
0000000,3,1,4
0000000,3,4,1
0000000,2,4,3
0000000,4,2,3
0000000,2,4,3
0000000,3,4,2
0000000,3,4,1
0000000,1,3,2
0000000,2,3,1
0000000,2,3,1
0000000,2,3,4
0000000,2,3,1
0000000,2,3,1
0000000,2,3,1
0000000,2,3,1
0000000,2,3,4
0000000,2,3,4
0000000,1,3,4
0000000,4,1,3
0000000,2,3,1
0000000,1,3,4
0000000,2,3,1
0000000,2,3,1
0000000,4,3,1
0000000,1,3,4
0000000,3,2,1
0000000,1,2,3
0000000,3,2,1
0000000,1,2,3
0000000,4,3,1
0000000,2,1,3
0000000,1,2,3
0000000,3,2,1
0000000,3,4,1
0000000,1,3,2
0000000,2,3,1
0000000,2,3,1
0000000,2,3,4
0000000,4,2,3
0000000,3,1,4
0000000,4,2,1
0000000,4,3,2
0000000,1,2,4
0000000,4,1,2
0000000,3,2,4
0000000,1,3,2
0000000,1,2,3
0000000,3,1,2
0000000,1,4,3
0000000,2,1,3
0000000,1,4,2
0000000,1,2,4
0000000,1,2,3
0000000,1,2,4
0000000,1,2,3
0000000,3,1,2
0000000,2,3,1
0000000,3,2,1
