user_id,First,Second,Third
0000000,9,5,6
0000000,6,5,8
0000000,8,7,5
0000000,8,9,5
0000000,6,7,8
0000000,6,5,8
0000000,6,9,5
0000000,6,9,5
0000000,5,6,7
0000000,6,7,8
0000000,8,5,6
0000000,7,8,9
0000000,6,7,5
0000000,6,8,9
0000000,6,9,7
0000000,5,6,9
0000000,8,7,9
0000000,8,9,7
0000000,8,7,6
0000000,9,7,5
0000000,9,5,7
0000000,8,5,9
0000000,5,6,8
0000000,9,7,8
0000000,5,9,6
0000000,8,9,7
0000000,7,8,5
0000000,6,5,7
0000000,8,7,9
0000000,5,6,7
0000000,5,8,6
0000000,5,7,9
0000000,7,9,5
0000000,7,9,5
0000000,7,5,8
0000000,5,7,9
0000000,7,5,8
0000000,9,7,5
0000000,9,5,7
0000000,8,9,7
0000000,6,8,9
0000000,7,9,5
0000000,6,7,8
0000000,8,9,5
0000000,8,6,7
0000000,7,8,5
0000000,7,8,5
0000000,9,8,7
0000000,5,8,6
0000000,6,8,5
0000000,5,7,9
0000000,5,6,9
0000000,6,8,9
0000000,8,7,5
0000000,9,5,8
0000000,9,5,8
0000000,9,8,5
0000000,6,7,5
0000000,6,7,8
0000000,6,7,8
0000000,5,7,6
0000000,9,8,7
0000000,6,5,9
0000000,6,5,7
0000000,6,5,9
0000000,5,9,8
0000000,8,5,6
0000000,9,8,5
0000000,5,8,6
0000000,6,7,5
0000000,8,9,7
0000000,7,9,6
0000000,6,5,8
0000000,7,5,8
0000000,6,8,9
0000000,9,6,8
0000000,8,6,9
0000000,7,5,8
0000000,8,7,6
0000000,6,9,7
0000000,6,5,9
0000000,6,5,7
0000000,9,7,5
0000000,5,8,9
0000000,8,6,7
0000000,5,7,6
0000000,5,7,8
0000000,7,8,5
0000000,7,6,9
0000000,8,7,6
0000000,8,5,7
0000000,9,8,5
0000000,8,5,9
0000000,6,5,9
0000000,8,7,5
0000000,5,7,6
0000000,8,7,6
0000000,8,7,9
0000000,5,6,8
0000000,5,6,7
0000000,7,6,8
0000000,6,7,8
0000000,6,5,8
0000000,7,9,5
0000000,6,8,5
0000000,7,9,5
0000000,9,7,8
0000000,8,9,7
0000000,9,8,6
0000000,5,8,6
0000000,7,9,6
0000000,5,6,8
0000000,8,7,5
0000000,7,9,5
0000000,5,6,8
0000000,6,7,9
0000000,5,7,6
0000000,5,8,7
0000000,6,5,8
0000000,8,7,5
0000000,6,5,9
0000000,8,5,6
0000000,8,6,9
0000000,9,8,5
0000000,6,7,9
0000000,5,6,7
0000000,8,7,5
0000000,5,7,8
0000000,5,6,9
0000000,8,7,5
0000000,7,9,6
0000000,8,5,6
0000000,6,7,5
0000000,7,8,6
0000000,8,9,5
0000000,8,9,5
0000000,7,9,8
0000000,8,6,7
0000000,7,5,6
0000000,5,9,7
0000000,5,7,9
0000000,5,6,9
0000000,7,5,8
0000000,6,5,7
0000000,6,8,5
0000000,7,8,6
0000000,9,6,8
0000000,7,9,5
0000000,9,7,5
0000000,5,9,6
0000000,7,8,5
0000000,7,8,9
0000000,5,8,9
0000000,5,7,8
0000000,8,9,5
0000000,7,5,8
0000000,9,7,6
0000000,7,6,5
0000000,9,5,8
0000000,9,7,8
0000000,9,8,6
0000000,7,9,8
0000000,9,8,5
0000000,7,9,5
0000000,6,9,8
0000000,9,5,8
0000000,6,7,9
0000000,5,6,7
0000000,8,7,5
0000000,8,6,5
0000000,6,7,8
0000000,5,7,9
0000000,8,5,7
0000000,7,8,5
0000000,6,7,8
0000000,8,7,5
0000000,6,5,8
0000000,9,8,7
0000000,7,5,8
0000000,6,8,5
0000000,9,5,7
0000000,8,7,6
0000000,6,7,9
0000000,9,8,6
0000000,6,9,5
0000000,9,8,7
0000000,5,9,7
0000000,5,7,8
0000000,5,8,9
0000000,6,8,9
0000000,9,5,8
0000000,6,5,8
0000000,5,7,8
0000000,6,5,9
0000000,8,7,5
0000000,5,6,9
0000000,6,5,8
0000000,5,6,9
0000000,5,7,9
0000000,9,7,5
0000000,7,9,6
0000000,5,6,7
0000000,9,8,7
0000000,5,6,8
0000000,7,6,8
0000000,7,9,8
0000000,9,7,5
0000000,8,7,6
0000000,5,6,7
0000000,8,5,9
0000000,9,8,5
0000000,5,6,8
0000000,7,5,9
0000000,5,8,7
0000000,7,6,9
0000000,7,5,8
0000000,7,8,9
0000000,7,5,6
0000000,6,8,5
0000000,6,7,5
0000000,7,9,6
0000000,7,8,6
0000000,7,6,5
0000000,8,7,5
0000000,9,7,8
0000000,5,8,7
0000000,9,8,6
0000000,9,7,6
0000000,6,7,9
0000000,5,7,8
0000000,5,7,9
0000000,7,5,6
0000000,6,7,8
0000000,5,8,7
0000000,5,7,9
0000000,5,8,9
0000000,5,7,9
0000000,5,6,8
0000000,6,5,7
0000000,7,8,6
0000000,8,9,7
0000000,5,7,8
0000000,6,5,7
0000000,8,7,6
0000000,7,8,5
0000000,6,7,9
0000000,9,8,7
0000000,5,7,8
0000000,8,5,7
0000000,7,9,8
0000000,8,7,5
0000000,8,7,5
0000000,9,7,5
0000000,6,8,9
0000000,9,6,5
0000000,8,9,5
0000000,8,6,9
0000000,5,7,9
0000000,9,5,7
0000000,5,7,9
0000000,6,7,8
0000000,7,8,5
0000000,5,7,8
0000000,8,7,5
0000000,6,7,9
0000000,9,6,8
0000000,6,5,9
0000000,7,8,9
0000000,5,8,9
0000000,8,7,9
0000000,9,5,8
0000000,9,6,7
0000000,6,9,7
0000000,7,6,8
0000000,8,5,7
0000000,7,8,9
0000000,7,9,8
0000000,8,7,9
0000000,7,5,6
0000000,8,6,7
0000000,5,8,6
0000000,7,8,9
0000000,8,7,9
0000000,7,8,6
0000000,8,7,9
0000000,8,7,9
0000000,7,5,9
0000000,8,7,9
0000000,9,8,5
0000000,9,6,7
0000000,9,8,7
0000000,8,7,6
0000000,8,7,5
0000000,8,5,7
0000000,7,6,9
0000000,8,9,7
0000000,5,7,8
0000000,9,5,7
0000000,6,7,5
0000000,6,5,8
0000000,9,8,7
0000000,6,8,5
0000000,6,7,8
0000000,9,7,6
0000000,8,5,6
0000000,8,7,6
0000000,5,7,6
0000000,7,8,5
0000000,6,7,5
0000000,5,8,7
0000000,8,7,5
0000000,9,5,6
0000000,5,6,8
0000000,8,7,5
0000000,7,6,8
0000000,6,8,5
0000000,8,5,6
0000000,5,6,7
0000000,5,9,6
0000000,5,7,6
0000000,5,6,7
0000000,8,5,7
0000000,6,5,8
0000000,7,9,8
0000000,5,6,9
0000000,8,7,9
0000000,6,7,8
0000000,7,6,9
0000000,9,7,8
0000000,7,8,5
0000000,5,8,7
0000000,5,6,7
0000000,7,5,9
0000000,5,6,8
0000000,6,7,8
0000000,8,7,6
0000000,7,6,5
0000000,9,8,5
0000000,6,8,7
0000000,7,9,5
0000000,8,7,9
0000000,8,5,7
0000000,8,9,7
0000000,5,6,8
0000000,9,7,6
0000000,6,5,7
0000000,9,5,7
0000000,5,6,8
0000000,7,8,9
0000000,5,6,7
0000000,8,6,5
0000000,7,6,5
0000000,7,9,8
0000000,8,5,7
0000000,5,8,9
0000000,7,9,5
0000000,8,6,9
0000000,8,7,5
0000000,7,9,5
0000000,8,5,9
0000000,9,5,7
0000000,5,8,9
0000000,5,8,9
0000000,9,8,7
0000000,7,5,6
0000000,8,7,5
0000000,7,9,6
0000000,9,7,5
0000000,8,5,9
0000000,6,9,5
0000000,6,9,7
0000000,8,9,7
0000000,8,7,9
0000000,8,5,7
0000000,6,5,8
0000000,8,7,9
0000000,7,9,6
0000000,7,5,9
0000000,6,8,7
0000000,8,7,9
0000000,6,5,7
0000000,5,9,7
0000000,5,7,8
0000000,7,5,8
0000000,5,8,7
0000000,9,8,7
0000000,9,8,5
0000000,7,8,6
0000000,5,8,7
0000000,6,5,8
0000000,8,7,5
0000000,7,8,9
0000000,5,8,9
0000000,6,5,8
0000000,8,5,7
0000000,9,7,8
0000000,7,8,9
0000000,8,5,6
0000000,9,6,5
0000000,5,6,7
0000000,5,6,7
0000000,9,6,7
0000000,5,9,7
0000000,7,5,6
0000000,7,9,6
0000000,8,7,9
0000000,8,7,9
0000000,7,5,6
0000000,9,6,5
0000000,5,7,9
0000000,9,5,7
0000000,7,8,6
0000000,8,9,7
0000000,7,6,8
0000000,7,8,5
0000000,9,8,6
0000000,8,6,5
0000000,8,9,5
0000000,6,8,9
0000000,8,6,7
0000000,8,6,5
0000000,9,6,8
0000000,5,9,7
0000000,7,5,8
0000000,5,6,9
0000000,9,8,5
0000000,5,7,8
0000000,7,8,6
0000000,5,7,9
0000000,9,8,7
0000000,5,8,7
0000000,6,7,9
0000000,9,5,7
0000000,5,7,8
0000000,8,5,7
0000000,7,5,6
0000000,7,9,5
0000000,5,7,8
0000000,5,7,9
0000000,8,5,7
0000000,5,8,7
0000000,8,5,9
0000000,7,8,9
0000000,5,8,6
0000000,6,5,9
0000000,8,7,5
0000000,7,8,6
0000000,5,6,7
0000000,9,7,5
0000000,6,8,9
0000000,6,9,8
0000000,5,8,7
0000000,7,8,9
0000000,9,5,7
0000000,5,6,7
0000000,8,6,7
0000000,7,5,8
0000000,7,9,8
0000000,6,8,7
0000000,5,7,6
0000000,8,7,9
0000000,7,6,9
0000000,8,9,7
0000000,8,7,6
0000000,8,9,6
0000000,9,7,8
0000000,5,6,7
0000000,8,9,5
0000000,8,9,7
0000000,5,8,9
0000000,9,8,5
0000000,9,8,7
0000000,7,8,9
0000000,8,6,5
0000000,5,7,9
0000000,6,5,8
0000000,8,7,9
0000000,7,5,8
0000000,8,6,5
0000000,7,8,5
0000000,8,6,5
0000000,7,5,9
0000000,7,9,5
0000000,7,8,6
0000000,7,8,5
0000000,7,5,8
0000000,6,9,7
0000000,6,8,7
0000000,5,9,6
0000000,6,8,7
0000000,5,8,9
0000000,7,6,5
0000000,8,9,7
0000000,8,5,9
0000000,8,7,6
0000000,8,5,7
0000000,8,7,5
0000000,6,7,8
0000000,6,9,7
0000000,7,6,9
0000000,9,8,7
0000000,7,8,5
0000000,7,8,6
0000000,8,6,7
0000000,9,5,7
0000000,8,6,7
0000000,7,9,5
0000000,8,7,6
0000000,5,6,7
0000000,5,6,8
0000000,8,9,5
0000000,5,8,6
0000000,8,7,5
0000000,7,8,6
0000000,8,5,6
0000000,8,5,9
0000000,9,5,8
0000000,5,6,9
0000000,5,6,7
0000000,9,7,8
0000000,5,9,8
0000000,7,5,9
0000000,5,7,8
0000000,8,5,7
0000000,7,8,5
0000000,9,8,5
0000000,5,8,6
0000000,9,7,8
0000000,7,8,9
0000000,8,7,9
0000000,6,7,9
0000000,8,6,5
0000000,9,6,5
0000000,8,5,7
0000000,7,5,6
0000000,7,8,9
0000000,7,8,9
0000000,5,7,9
0000000,9,5,8
0000000,9,7,6
0000000,6,5,7
0000000,8,5,6
0000000,7,8,6
0000000,8,7,5
0000000,8,9,7
0000000,8,7,6
0000000,8,5,7
0000000,7,9,5
0000000,5,6,7
0000000,8,5,7
0000000,7,6,9
0000000,7,5,8
0000000,7,9,5
0000000,8,5,7
0000000,8,7,5
